id,code,question,answer,prediction,accuracy,completeness,relevance,clarity,accuracy_initial,completeness_initial,relevance_initial,clarity_initial,accuracy_rescored,completeness_rescored,relevance_rescored,clarity_rescored,teacher_intervened
0,def dict contains superset subset for key value in subset iteritems ok key in superset eq superset[key] value,How do all key / val pairs in dict subset exist also ?,in superset,Each key-value pair exists in the superset because they are equal based on the same key and value.,2,2,2,2,2,2,2,2,,,,,False
1,@mock opsworks@mock ec 2 def test ec 2 integration opsworks boto 3 client u'opsworks' region name u'us-east- 1 ' stack id opsworks create stack Name u'S 1 ' Region u'us-east- 1 ' Service Role Arn u'service arn' Default Instance Profile Arn u'profile arn' [u' Stack Id']layer id opsworks create layer Stack Id stack id Type u'custom' Name u'S 1 L 1 ' Shortname u'S 1 L 1 ' [u' Layer Id']instance id opsworks create instance Stack Id stack id Layer Ids [layer id] Instance Type u't 2 micro' [u' Instance Id']ec 2 boto 3 client u'ec 2 ' region name u'us-east- 1 ' reservations ec 2 describe instances [u' Reservations']assert reservations should be emptyopsworks start instance Instance Id instance id reservations ec 2 describe instances [u' Reservations']reservations[ 0 ][u' Instances'] should have length of 1 instance reservations[ 0 ][u' Instances'][ 0 ]opsworks instance opsworks describe instances Stack Id stack id [u' Instances'][ 0 ]instance[u' Instance Id'] should equal opsworks instance[u' Ec 2 Instance Id'] instance[u' Private Ip Address'] should equal opsworks instance[u' Private Ip'],How be instances created via opsworks be discoverable ?,via ec2,Instances can be discoverable via OpsWorks and EC2 via their UUIDs.,1,1,1,1,1,1,1,1,,,,,False
2,def step size to bound x s lb ub non zero np nonzero s s non zero s[non zero]steps np empty like x steps fill np inf with np errstate over 'ignore' steps[non zero] np maximum lb - x [non zero] / s non zero ub - x [non zero] / s non zero min step np min steps return min step np equal steps min step * np sign s astype int,For what purpose did a min_step size require ?,to reach a bound,To compute the minimum step size required to reach a bound in numpy.,3,3,3,3,3,3,3,3,,,,,False
3,def cwd at path def decorator func @functools wraps func def wrapper *args **kwds try oldcwd os getcwd repo root os path dirname test dir os chdir os path join repo root path return func *args **kwds finally os chdir oldcwd return wrapperreturn decorator,What do decorator run at path ?,function,run at path,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,True
4,def convert mysql timestamp timestamp if not PY 2 and isinstance timestamp bytes bytearray timestamp timestamp decode 'ascii' if timestamp[ 4 ] '-' return convert datetime timestamp timestamp + '0 ' * 14 - len timestamp year month day hour minute second int timestamp[ 4] int timestamp[ 4 6] int timestamp[ 6 8] int timestamp[ 8 10 ] int timestamp[ 10 12 ] int timestamp[ 12 14 ] try return datetime datetime year month day hour minute second except Value Error return None,What does the code convert to a timestamp object ?,a mysql timestamp,Mysql Timestamp,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,True
5,def cryptovariables equal x y return hmac sha 256 CRYPTOVARIABLE EQUALITY COMPARISON NONCE x hmac sha 256 CRYPTOVARIABLE EQUALITY COMPARISON NONCE y,How does two strings compare for equality ?,securely,Comparing strings for equality securely,3,3,3,3,3,3,3,3,,,,,False
6,def find packages where ' ' exclude out []stack [ convert path where '' ]while stack where prefix stack pop 0 for name in os listdir where fn os path join where name if ' ' not in name and os path isdir fn and os path isfile os path join fn ' init py' out append prefix + name stack append fn prefix + name + ' ' for pat in list exclude + ['ez setup'] from fnmatch import fnmatchcaseout [item for item in out if not fnmatchcase item pat ]return out,"Where should where be supplied as a "" cross - platform "" path ?",where,On Windows.,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,True
7,def sensitive variables *variables def decorator func @functools wraps func def sensitive variables wrapper *args **kwargs if variables sensitive variables wrapper sensitive variables variableselse sensitive variables wrapper sensitive variables ' ALL 'return func *args **kwargs return sensitive variables wrapperreturn decorator,Where did which variables use ?,in the decorated function,Sensitive variables used in the decorated function and decorated view,2,2,2,2,2,2,2,2,,,,,False
8,def fix IE for vary request response useragent request META get 'HTTP USER AGENT' '' upper if 'MSIE' not in useragent and 'CHROMEFRAME' not in useragent return responsesafe mime types 'text/html' 'text/plain' 'text/sgml' mime type response get ' Content- Type' '' partition ' ' [0 ]if mime type not in safe mime types try del response[' Vary']except Key Error passreturn response,How will this function fix the bug reported at URL whenever the mime - type is not safe enough for internet explorer to handle ?,by clearing the vary header,"It fixes a bug by clearing the ""Vary"" header when the MIME type is not safe for Internet Explorer to handle.",3,3,3,3,3,3,3,3,,,,,False
9,def lastmodified date obj header ' Last- Modified' date obj strftime '%a %d%b%Y%TGMT',When did header modify ?,last,Header modified on last modification date.,1,1,1,2,2,2,2,2,1.0,1.0,1.0,2.0,True
10,"def handle text mic profile messages [""I'msorry couldyourepeatthat?"" ' Myapologies couldyoutrysayingthatagain?' ' Saythatagain?' ' Ibegyourpardon?']message random choice messages mic say message",What has unclear or unusable input ?,the user,User.,3,3,3,3,3,3,3,3,,,,,False
