code,question,id,reference,prediction,accuracy.score,completeness.score,relevance.score,clarity.score
def dict contains superset subset for key value in subset iteritems ok key in superset eq superset[key] value,How do all key / val pairs in dict subset exist also ?,q18633,in superset,Each key-value pair exists in the superset because they are equal based on the same key and value.,2,2,3,2
@mock opsworks@mock ec 2 def test ec 2 integration opsworks boto 3 client u'opsworks' region name u'us-east- 1 ' stack id opsworks create stack Name u'S 1 ' Region u'us-east- 1 ' Service Role Arn u'service arn' Default Instance Profile Arn u'profile arn' [u' Stack Id']layer id opsworks create layer Stack Id stack id Type u'custom' Name u'S 1 L 1 ' Shortname u'S 1 L 1 ' [u' Layer Id']instance id opsworks create instance Stack Id stack id Layer Ids [layer id] Instance Type u't 2 micro' [u' Instance Id']ec 2 boto 3 client u'ec 2 ' region name u'us-east- 1 ' reservations ec 2 describe instances [u' Reservations']assert reservations should be emptyopsworks start instance Instance Id instance id reservations ec 2 describe instances [u' Reservations']reservations[ 0 ][u' Instances'] should have length of 1 instance reservations[ 0 ][u' Instances'][ 0 ]opsworks instance opsworks describe instances Stack Id stack id [u' Instances'][ 0 ]instance[u' Instance Id'] should equal opsworks instance[u' Ec 2 Instance Id'] instance[u' Private Ip Address'] should equal opsworks instance[u' Private Ip'],How be instances created via opsworks be discoverable ?,q4279,via ec2,Instances can be discoverable via OpsWorks and EC2 via their UUIDs.,2,2,3,2
def step size to bound x s lb ub non zero np nonzero s s non zero s[non zero]steps np empty like x steps fill np inf with np errstate over 'ignore' steps[non zero] np maximum lb - x [non zero] / s non zero ub - x [non zero] / s non zero min step np min steps return min step np equal steps min step * np sign s astype int,For what purpose did a min_step size require ?,q17644,to reach a bound,To compute the minimum step size required to reach a bound in numpy.,2,2,3,3
def cwd at path def decorator func @functools wraps func def wrapper *args **kwds try oldcwd os getcwd repo root os path dirname test dir os chdir os path join repo root path return func *args **kwds finally os chdir oldcwd return wrapperreturn decorator,What do decorator run at path ?,q8499,function,run at path,1,1,2,3
def convert mysql timestamp timestamp if not PY 2 and isinstance timestamp bytes bytearray timestamp timestamp decode 'ascii' if timestamp[ 4 ] '-' return convert datetime timestamp timestamp + '0 ' * 14 - len timestamp year month day hour minute second int timestamp[ 4] int timestamp[ 4 6] int timestamp[ 6 8] int timestamp[ 8 10 ] int timestamp[ 10 12 ] int timestamp[ 12 14 ] try return datetime datetime year month day hour minute second except Value Error return None,What does the code convert to a timestamp object ?,q15986,a mysql timestamp,Mysql Timestamp,2,2,3,2
def cryptovariables equal x y return hmac sha 256 CRYPTOVARIABLE EQUALITY COMPARISON NONCE x hmac sha 256 CRYPTOVARIABLE EQUALITY COMPARISON NONCE y,How does two strings compare for equality ?,q4252,securely,Comparing strings for equality securely,3,3,3,3
def find packages where ' ' exclude out []stack [ convert path where '' ]while stack where prefix stack pop 0 for name in os listdir where fn os path join where name if ' ' not in name and os path isdir fn and os path isfile os path join fn ' init py' out append prefix + name stack append fn prefix + name + ' ' for pat in list exclude + ['ez setup'] from fnmatch import fnmatchcaseout [item for item in out if not fnmatchcase item pat ]return out,"Where should where be supplied as a "" cross - platform "" path ?",q541,where,On Windows.,1,1,2,2
def sensitive variables *variables def decorator func @functools wraps func def sensitive variables wrapper *args **kwargs if variables sensitive variables wrapper sensitive variables variableselse sensitive variables wrapper sensitive variables ' ALL 'return func *args **kwargs return sensitive variables wrapperreturn decorator,Where did which variables use ?,q6140,in the decorated function,Sensitive variables used in the decorated function and decorated view,2,2,3,2
def fix IE for vary request response useragent request META get 'HTTP USER AGENT' '' upper if 'MSIE' not in useragent and 'CHROMEFRAME' not in useragent return responsesafe mime types 'text/html' 'text/plain' 'text/sgml' mime type response get ' Content- Type' '' partition ' ' [0 ]if mime type not in safe mime types try del response[' Vary']except Key Error passreturn response,How will this function fix the bug reported at URL whenever the mime - type is not safe enough for internet explorer to handle ?,q9351,by clearing the vary header,"It fixes a bug by clearing the ""Vary"" header when the MIME type is not safe for Internet Explorer to handle.",3,2,3,3
def lastmodified date obj header ' Last- Modified' date obj strftime '%a %d%b%Y%TGMT',When did header modify ?,q6344,last,Header modified on last modification date.,2,2,3,2
"def handle text mic profile messages [""I'msorry couldyourepeatthat?"" ' Myapologies couldyoutrysayingthatagain?' ' Saythatagain?' ' Ibegyourpardon?']message random choice messages mic say message",What has unclear or unusable input ?,q6853,the user,User.,2,2,3,3
def reset alarm **kwargs service instance kwargs get 'service instance' payload build payload **kwargs logging debug payload session service instance stubif not send request payload session return Falsereturn True,For what purpose do someone log ?,q18138,to do it manually,Alarm,1,1,2,3
@with setup reset def test new bundle b Bundle register 'foo' b 's 2 ' 's 3 ' assert b in get 'foo' contents register 'footon' 's 1 ' assert 's 1 ' in get 'footon' contents register 'foofighters' b output 'bar' assert b in get 'foofighters' contents,How do a new bundle register ?,q3400,test,A new bundle register is created using `def`.,1,1,2,2
def find files roots generated resources None ignored patterns IGNORED PATTERNS ignored dirs IGNORED DIRS ignored path regexps IGNORED PATH REGEXPS allowed extensions None if generated resources is None generated resources set if isinstance roots string types roots [roots]if isinstance allowed extensions string types allowed extensions set [allowed extensions] for root in roots for path dirs files in os walk root path posixpath normpath path replace os sep '/' remove ignored directories path dirs ignored dirs ignored path regexps for filename in files filepath posixpath join path filename if filename 'generated resources txt' process generated resources path filepath generated resources continueif not all not fnmatch fnmatch filename x for x in ignored patterns continueif not check allowed extension filepath allowed extensions continue yield filepath,How do files find in roots ?,q6520,with ignores,Files are found in roots by walking through directories and checking for allowed extensions and ignored patterns.,2,2,3,3
def minimals A le lambda x y x < y r []for x in A for a in A if le a x and not le x a breakelse for a in r if le a x breakelse r append x return r,By how much did elements order ?,q11185,partially,Increased order,1,1,2,2
def kernel versions debian kernel get selections salt ['cmd run'] 'dpkg--get-selectionslinux-image-*' kernels []kernel versions []for line in kernel get selections splitlines kernels append line try kernel kernels[ -2 ]except Index Error kernel kernels[ 0 ]kernel kernel rstrip ' DCTB DCTB install' kernel get version salt ['cmd run'] 'apt-cachepolicy' + kernel for line in kernel get version splitlines if line startswith ' Installed ' kernel v line strip ' Installed ' kernel versions append kernel v breakif grains ['os'] ' Ubuntu' kernel v kernel versions[ 0 ] rsplit ' ' 1 kernel ubuntu generic kernel v[ 0 ] + '-generic#' + kernel v[ 1 ] kernel ubuntu lowlatency kernel v[ 0 ] + '-lowlatency#' + kernel v[ 1 ] kernel versions extend [kernel ubuntu generic kernel ubuntu lowlatency] return kernel versions,When did kernel name instal ?,q8185,last,Ubuntu,1,1,2,3
def get keywords git refnames '$ Format %d$'git full '$ Format %H$'git date '$ Format %ci$'keywords {'refnames' git refnames 'full' git full 'date' git date}return keywords,For what purpose do the keywords need ?,q7334,to look up the version information,Version information,3,2,3,3
def Function fname klassname ' %s Function' % fname c globals [klassname] return c,What selects the function object ?,q6693,internal method,The code selects the function object using globals.,2,2,3,3
def start Dtmf a Tp Pd pd 3 b Message Type mes Type 53 c Keypad Facility Hdr iei KF 44 eight Bit KF 0 packet a / b / c return packet,Where do dtmf start ?,q2461,section 9,Dtmf starts at section 9.,3,3,3,3
def eval univariate f var idx point x bij Dict To Var Bijection var idx point return list map bij mapf f x,Where do values vary ?,q11206,at one index,Values vary.,2,2,2,2
