id,code,question,answer,prediction,accuracy,completeness,relevance,clarity,accuracy_initial,completeness_initial,relevance_initial,clarity_initial,accuracy_rescored,completeness_rescored,relevance_rescored,clarity_rescored,teacher_intervened
0,def op maker op class op symbol def f self node *args **kwargs ' Returnapartialfunctionwithan Opsubclasswithanoperator\nalreadypassed \n\n Returns\n-------\nf callable\n'return partial op class op symbol *args **kwargs return f,When did its symbol pass ?,already,The answer is: its symbol passed already.,3,3,3,3,3,3,3,3,,,,,False
1,def task install docker plugin distribution None package source Package Source return task package install 'clusterhq-flocker-docker-plugin' distribution package source,Where do flocker docker plugin install ?,on a distribution,The Docker plugin is installed on a distribution through the command `clusterhq-flocker-docker-plugin`.,2,2,2,2,2,2,2,2,,,,,False
2,def user redirect URL c 'admin' args request args vars request vars,Where did the code define ?,in admin module,Module,1,1,1,1,1,1,1,1,,,,,False
3,@register simple tagdef format date range date from date to separator '-' format str '{dt %B}{dt day} {dt %Y}' year f ' {dt %Y}' month f '{dt %B}' if isinstance date to datetime datetime and isinstance date from datetime datetime date to date to date date from date from date if date to and date to date from from format to format format strif date from year date to year from format from format replace year f '' if date from month date to month to format to format replace month f '' return separator join from format format dt date from to format format dt date to return format str format dt date from,What does the code take ?,a start date,Takes and returns a formatted date string in cloudtrail format.,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,True
4,def is overlapping t memlen itemsize ndim shape strides offset tvisited 1 << memlen for ind in indices shape i memory index ind t bit 1 << i if visited & bit return Truevisited bitreturn False,In which direction did all possible tuples of indices iterate ?,through,Through twice.,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,True
5,def exp backoff fn fn *args **kwargs max tries kwargs pop u'max tries' MAX TRIES if not on win return fn *args **kwargs import randomfor n in range max tries try result fn *args **kwargs except OS Error IO Error as e log trace repr e if e errno in EPERM EACCES if n max tries - 1 raisesleep time 2 ** n + random random * 0 1 caller frame sys getframe 1 log trace u'retrying%s/%s%s in%gsec' basename caller frame f code co filename caller frame f lineno fn name sleep time sleep sleep time elif e errno in ENOENT ENOTEMPTY raiseelse log warn u' Uncaughtbackoffwitherrno%s%d' errorcode[e errno] e errno raiseelse return result,Why do file operations fail on windows ?,due to virus scanners,"""Virus scanners""",1,1,1,1,1,1,1,1,,,,,False
6,def get src tree base source saltenv 'base' parsed urlparse source sbase os path basename source dest os path join tree base 'SOURCES' sbase if parsed scheme lsrc salt ['cp get url'] source dest saltenv saltenv else shutil copy source dest,What does the code get ?,the named sources,The code gets a named source.,2,2,3,2,3,3,3,3,2.0,2.0,3.0,2.0,True
7,def dfs successors G source None d defaultdict list for s t in dfs edges G source source d[s] append t return dict d,How do dictionary of successors return ?,in depth - first - search from source,A dictionary of successors.,1,1,1,1,1,1,1,1,,,,,False
8,def send poetry sock poetry file num bytes delay inputf open poetry file while True bytes inputf read num bytes if not bytes sock close inputf close returnprint ' Sending%dbytes' % len bytes try sock sendall bytes except socket error sock close inputf close returntime sleep delay,In which direction does the code send some poetry slowly ?,down the socket,Slowly,1,1,1,1,1,1,1,1,,,,,False
9,@contextmanagerdef warnings state module global warningregistry for to clear in sys warning tests try to clear warningregistry clear except Attribute Error passtry warningregistry clear except Name Error passoriginal warnings warning tests warningstry warning tests warnings module yield finally warning tests warnings original warnings,Where does the code use a specific warnings implementation ?,in warning_tests,Context manager suppresses module and package deprecation warnings,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,True
